               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11434,            0.030929,                   0,           0.0010256,             0.30769,            0.014507,            0.006342,            0.084317,            0.018779,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.080986,             0.02794,                   0,            0.055816,             0.46154,            0.058456,            0.012819,             0.08478,             0.01324,                   0,            0.055851,           0.0048515,           0.0048515
                   2,            0.071464,            0.024213,                   0,             0.19029,             0.15385,             0.10635,            0.030151,            0.077954,           0.0095735,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.066395,            0.020908,                   0,             0.35507,             0.38462,             0.29839,             0.12498,            0.080012,           0.0081487,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.071147,            0.019673,                   0,             0.48817,             0.46154,             0.42989,             0.14121,            0.070145,            0.008183,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.061924,             0.01923,                   0,             0.11409,             0.15385,            0.075721,            0.017661,            0.075525,           0.0067315,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055253,            0.018874,                   0,             0.59774,             0.61538,             0.60669,             0.31758,            0.063947,           0.0067987,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.056872,            0.017212,                   0,             0.42738,             0.61538,             0.41988,             0.25227,            0.059762,           0.0066667,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050459,             0.01691,                   0,             0.76827,             0.53846,             0.62986,             0.32662,            0.050448,           0.0067291,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048535,            0.014905,                   0,              0.5294,             0.69231,             0.56174,             0.23167,            0.052407,           0.0063634,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052194,             0.01511,                   0,             0.57361,             0.76923,             0.73695,             0.37125,            0.047979,            0.006043,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044717,            0.014597,                   0,             0.50358,             0.84615,              0.7174,             0.33649,            0.041545,            0.006093,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046116,            0.013611,                   0,             0.90443,             0.72982,             0.87825,             0.50705,            0.041222,           0.0057969,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041115,            0.014165,                   0,             0.79081,             0.92308,             0.85851,             0.48177,            0.039551,           0.0056167,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.040808,            0.012441,                   0,             0.99859,             0.92308,             0.94185,             0.50789,            0.047071,           0.0052133,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040589,            0.013094,                   0,             0.69433,             0.92308,             0.84033,             0.56999,            0.037886,           0.0048785,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038891,            0.012229,                   0,              0.9227,              0.9185,             0.92483,             0.59118,            0.035438,           0.0050154,                   0,            0.008515,            0.008515,            0.008515
